,公園名稱,里別,位置,管理單位,X座標,Y座標
0,羅東運動公園,北成里,羅東鎮北成里,宜蘭縣立體育場,24.683041,121.753468
1,宜蘭運動公園,建業里,宜蘭市中山路一段755號,宜蘭縣立體育場,24.739158,121.754727
2,羅東鎮公一公園,信義里,羅東鎮中華路189號,羅東鎮公所,24.67454,121.775821
3,羅東鎮公三公園,南昌里,羅東鎮前南路1號,羅東鎮公所,24.669023,21.772553
4,羅東鎮公五公園,樹林里,羅東鎮文林路130號,羅東鎮公所,24.683339,121.761438
5,羅東鎮公七公園,東安里,羅東鎮天祥路169號後方,羅東鎮公所,24.67454,121.775821
6,羅東鎮公九公園,南豪里,羅東鎮興東南路(成功派出所對面),羅東鎮公所,24.669137,121.770271
7,樟仔園公園(11號公園),漢民里,羅東鎮中山路四段82號,羅東鎮公所,24.674044,121.761851
8,培英路綠地,國華里,羅東鎮培英路139-131號對面,羅東鎮公所,24.6792,121.757837
9,鍾山新村綠地,公正里,羅東鎮林森路與羅東國中間綠地,羅東鎮公所,24.680992,121.76709
10,西安公園,西安里,羅東鎮西安街468號前,羅東鎮公所,24.666805,121.754124
11,公二公園(羅東鎮中山公園),吉祥里,羅東鎮興東路、民權路、民生路、公園路環繞,羅東鎮公所,24.676666,121.769159
12,蘇澳鎮運動公園,聖愛里,宜蘭縣蘇澳鎮聖愛路56號 ,蘇澳鎮公所,24.599709,121.835313
13,南方澳北濱公園,南建里,宜蘭縣蘇澳鎮學府路(南安國中旁),蘇澳鎮公所,24.576826,121.869701
14,宜蘭河濱公園,孝廉里,宜蘭市環河東路,宜蘭市公所,24.764877,121.756326
15,礁溪湯圍溝公園,德陽村,礁溪鄉德陽路99-11號,宜蘭縣政府,24.82855,121.770014
16,礁溪溫泉公園,玉石村,礁溪鄉公園路16號,宜蘭縣政府,24.831306,121.776573
17,龍潭湖風景區,龍潭村,宜蘭縣礁溪鄉龍潭村環湖路1號 ,宜蘭縣政府,24.792055,121.740184
18,親水公園,協和村,宜蘭縣五結鄉親河路二段2號,宜蘭縣政府,24.672229,121.81227
19,清水地熱公園,復興村,大同鄉三星路8段501巷150號,宜蘭縣政府,24.611909,121.637127
20,地景廣場,德陽村,礁溪鄉中山路二段201號,礁溪鄉公所,24.828722,121.775814
21,溫泉廣場,德陽村,礁溪鄉溫泉路、礁溪路交叉口,礁溪鄉公所,24.828743,121.773659
22,水景廣場,大忠村,礁溪鄉礁溪路五段1號,礁溪鄉公所,24.824657,121.770713
23,迎賓廣場,德陽村,礁溪鄉礁溪路五段旁,礁溪鄉公所,24.829128,121.776116
24,三星公園(洛克馬公園),義德村,三星鄉義德路附近(三星鄉老人文康中心旁邊),三星鄉公所,24.667909,121.65118
25,鄉村公園,五結村,五結鄉宜24鄉道55-27對面(中興路一段至東接五結中路二段沿五結排水幹線),五結鄉公所,24.687608,121.796093
26,五結鄉鄰閭公園,協和村,五結鄉協和村親河路1段180巷5弄7號對面,五結鄉公所,24.6689,121.817888
27,五結鄉舊河道第二期,季新村 ,五結鄉立利澤幼兒園旁,五結鄉公所,24.66936,121.824441
28,五結鄉溪濱公園,鎮安村,安村溪濱路三段323號對面,五結鄉公所,24.711205,121.768705
29,宜蘭市中山公園,神農里,宜蘭市神農里16鄰中山路二段482號,宜蘭市公所,24.754367,121.754334
30,冬山鄉鄉政公園,南興村,冬山鄉冬山路98號後面,冬山鄉公所,24.633872,121.794051
31,頭城運動公園,武營里 ,頭城鎮開蘭橋邊,頭城鎮公所,24.86375,121.823892
32,員山公園,員山村,264宜蘭縣員山鄉復興路12-18對面,員山鄉公所,24.744609,121.722998
